Customer_ID,Age,Gender,Marital_Status,Education_Level,Employment_Type,Annual_Income,Region,Credit_Score,Existing_Loans_Count,Dependents,Account_Balance,Loan_ID,Loan_Purpose,Loan_Amount,Loan_Term_Months,Interest_Rate,Debt_to_Income_Ratio_%,Application_Date,Approval_Date,Loan_Status,Default_Risk_Flag
CUST1,58,Male,Divorced,Bachelor,Salaried,196780,East,555,0,2,474834,LOAN1,Business Loan,1421086,24,15.2,722.17,2018-11-22,2018-11-26,Default,1
CUST2,47,Female,Married,Bachelor,Unemployed,197067,West,437,4,0,208267,LOAN2,Business Loan,157705,24,5.15,80.03,2018-03-30,2018-04-09,Default,1
CUST3,65,Male,Married,High School,Unemployed,88261,East,622,4,4,256049,LOAN3,Personal Loan,1113215,12,13.44,1261.28,2022-08-21,2022-08-25,Default,1
CUST4,63,Female,Divorced,PhD,Self-Employed,73260,West,553,4,3,209329,LOAN4,Business Loan,1324205,84,17.27,1807.54,2018-09-16,2018-09-24,Default,1
CUST5,36,Female,Divorced,Bachelor,Unemployed,77524,Central,685,2,1,52073,LOAN5,Business Loan,907030,48,11.94,1170.0,2018-02-24,2018-03-04,Default,1
CUST6,54,Female,Single,Bachelor,Self-Employed,60885,South,489,4,4,108861,LOAN6,Personal Loan,353172,48,9.23,580.06,2023-06-19,2023-06-30,Default,1
CUST7,43,Male,Single,High School,Salaried,140406,East,843,4,1,241206,LOAN7,Business Loan,286465,60,12.08,204.03,2021-09-18,2021-09-23,Default,1
CUST8,51,Male,Married,Master,Salaried,168999,East,581,5,3,437954,LOAN8,Car Loan,96873,24,7.66,57.32,2022-06-30,2022-07-10,Default,1
CUST9,25,Female,Single,Bachelor,Salaried,168426,North,875,0,1,35677,LOAN9,Personal Loan,1486205,24,11.62,882.41,2019-08-14,2019-08-28,Default,1
CUST10,32,Male,Single,High School,Self-Employed,126603,Central,829,1,4,159251,LOAN10,Personal Loan,303516,84,12.41,239.74,2023-05-10,2023-05-23,Default,1
CUST11,29,Male,Single,PhD,Self-Employed,181535,East,808,5,4,405309,LOAN11,Business Loan,430543,120,14.59,237.17,2022-01-09,2022-01-17,Default,1
CUST12,53,Female,Married,Master,Unemployed,148531,Central,785,2,4,300487,LOAN12,Business Loan,1199030,12,7.6,807.26,2018-03-31,2018-04-12,Default,1
CUST13,65,Male,Single,Bachelor,Business,169941,East,675,5,4,289440,LOAN13,Car Loan,1302836,36,9.71,766.64,2020-03-09,2020-03-14,Default,1
CUST14,21,Female,Divorced,High School,Salaried,24515,East,632,1,2,133200,LOAN14,Home Loan,371164,24,12.98,1514.03,2021-08-31,2021-09-09,Default,1
CUST15,24,Female,Divorced,Bachelor,Unemployed,140836,West,306,5,1,118273,LOAN15,Home Loan,947304,120,10.02,672.63,2020-09-17,2020-09-27,Default,1
CUST16,65,Male,Single,High School,Unemployed,92739,Central,703,1,2,397044,LOAN16,Education Loan,1350607,48,7.28,1456.35,2018-05-23,2018-05-27,Default,1
CUST17,61,Male,Single,Master,Self-Employed,173518,West,715,4,4,140107,LOAN17,Car Loan,1179359,60,8.19,679.68,2019-10-26,2019-11-07,Default,1
CUST18,29,Female,Single,High School,Self-Employed,117058,West,811,3,3,57624,LOAN18,Home Loan,159052,60,17.05,135.87,2020-08-02,2020-08-04,Default,1
CUST19,49,Female,Married,PhD,Unemployed,86091,North,370,5,3,40210,LOAN19,Car Loan,684836,24,14.24,795.48,2020-09-01,2020-09-06,Default,1
CUST20,62,Male,Married,Master,Self-Employed,93027,South,566,4,3,395567,LOAN20,Business Loan,1285186,36,5.13,1381.52,2020-07-17,2020-07-27,Default,1
CUST21,46,Male,Single,Bachelor,Self-Employed,169210,West,471,2,2,87501,LOAN21,Car Loan,876327,12,14.14,517.89,2018-01-23,2018-01-30,Default,1
CUST22,38,Female,Divorced,High School,Salaried,31992,Central,767,0,3,172529,LOAN22,Car Loan,1339634,48,16.17,4187.4,2021-05-20,2021-05-23,Default,1
CUST23,33,Male,Married,Bachelor,Self-Employed,156162,North,525,4,0,367387,LOAN23,Home Loan,509580,120,5.2,326.31,2023-03-08,2023-03-21,Default,1
CUST24,24,Male,Divorced,PhD,Business,166102,North,683,5,1,381723,LOAN24,Business Loan,909808,36,12.91,547.74,2018-05-07,2018-05-16,Default,1
CUST25,26,Female,Single,Bachelor,Self-Employed,52463,South,589,0,2,228559,LOAN25,Personal Loan,374958,84,9.03,714.71,2022-04-12,2022-04-13,Default,1
CUST26,45,Female,Divorced,High School,Salaried,60746,North,361,5,2,103982,LOAN26,Business Loan,241700,120,12.13,397.89,2023-03-23,2023-04-03,Default,1
CUST27,30,Male,Single,Master,Business,58701,Central,315,0,4,216232,LOAN27,Business Loan,413485,24,17.95,704.39,2022-11-15,2022-11-21,Default,1
CUST28,61,Male,Single,Bachelor,Self-Employed,127742,East,667,1,3,134459,LOAN28,Business Loan,198283,84,17.18,155.22,2018-10-13,2018-10-23,Default,1
CUST29,47,Male,Single,Bachelor,Unemployed,105777,South,845,2,1,308630,LOAN29,Car Loan,697111,48,17.61,659.04,2018-05-25,2018-05-28,Default,1
CUST30,39,Female,Divorced,Bachelor,Unemployed,182070,South,703,4,0,168694,LOAN30,Education Loan,1277867,12,13.18,701.85,2018-08-30,2018-09-02,Default,1
CUST31,24,Male,Single,PhD,Unemployed,47551,West,596,4,0,399929,LOAN31,Home Loan,1177413,12,17.25,2476.11,2018-06-22,2018-06-28,Default,1
